id;category_affiliation_probability_flag;id_2009_A_and_A_498_961_R;binary_system_component;icrs_ra;icrs_ra_error;icrs_dec;icrs_dec_error;gal_longitude;gal_latitude;alpha;delta;B;B_error;B_quality;B_uncertainty_flag;B-V;B-V_error;B-V_quality;B-V_uncertainty_flag;b-y;b-y_error;b-y_quality;b-y_uncertainty_flag;B1;B1_error;B1_quality;B1_uncertainty_flag;B1-B2;B1-B2_error;B1-B2_quality;B1-B2_uncertainty_flag;B2;B2_error;B2_quality;B2_uncertainty_flag;B2-G;B2-G_error;B2-G_quality;B2-G_uncertainty_flag;BP;BP_error;BP_quality;BP_uncertainty_flag;c1;c1_error;c1_quality;c1_uncertainty_flag;D;D_error;D_quality;D_uncertainty_flag;D(V1-G);D(V1-G)_error;D(V1-G)_quality;D(V1-G)_uncertainty_flag;Delta;Delta_error;Delta_quality;Delta_uncertainty_flag;Delta a;Delta a_error;Delta a_quality;Delta a_uncertainty_flag;g';g'_error;g'_quality;g'_uncertainty_flag;G;G_error;G_quality;G_uncertainty_flag;H;H_error;H_quality;H_uncertainty_flag;Hp;Hp_error;Hp_quality;Hp_uncertainty_flag;Hβ;Hβ_error;Hβ_quality;Hβ_uncertainty_flag;i';i'_error;i'_quality;i'_uncertainty_flag;J;J_error;J_quality;J_uncertainty_flag;K;K_error;K_quality;K_uncertainty_flag;m1;m1_error;m1_quality;m1_uncertainty_flag;r';r'_error;r'_quality;r'_uncertainty_flag;RP;RP_error;RP_quality;RP_uncertainty_flag;U;U_error;U_quality;U_uncertainty_flag;U-B;U-B_error;U-B_quality;U-B_uncertainty_flag;U-B1;U-B1_error;U-B1_quality;U-B1_uncertainty_flag;U-B2;U-B2_error;U-B2_quality;U-B2_uncertainty_flag;V;V_error;V_quality;V_uncertainty_flag;V-I;V-I_error;V-I_quality;V-I_uncertainty_flag;V1;V1_error;V1_quality;V1_uncertainty_flag;V1-G;V1-G_error;V1-G_quality;V1-G_uncertainty_flag;VM;VM_error;VM_quality;VM_uncertainty_flag;X;X_error;X_quality;X_uncertainty_flag;Y;Y_error;Y_quality;Y_uncertainty_flag;Z;Z_error;Z_quality;Z_uncertainty_flag
1035;;8070;;73.639245;0.017;-52.5237148;0.02;260.0033817;-38.7712833;04 54 33.448;-52 31 25.16;8.215;0.0;;;0.228;0.002;;;0.948;;;;-0.469;;;;1.417;;;;-0.401;;;;8.1467;0.348;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1036;;8048;;73.8931122;1.085;-10.8829444;0.963;209.6792717;-30.6210151;04 55 34.343;-10 52 58.63;;;;;;;;;;;;;;;;;;;;;;;;;8.8916;0.036;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1037;?;8052;;73.9400115;0.023;-7.8938026;0.02;206.6013604;-29.2700001;04 55 45.606;-07 53 37.67;8.077;0.0;;;0.144;0.016;;;;;;;;;;;;;;;;;;;8.0214;0.052;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1038;;8040;;73.9589696;0.124;15.0402151;0.037;185.2377267;-17.2812131;04 55 50.155;+15 02 24.98;;;;;-0.085;0.005;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1039;;8120;;74.006487;0.011;-60.3613123;0.011;269.8434889;-37.4964142;04 56 01.515;-60 21 41.51;9.771;0.366;;;;;;;;;;;;;;;;;;;;;;;9.331;0.794;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1040;?;8007;;74.0613977;0.023;47.4408038;0.016;159.3254194;2.6306034;04 56 14.728;+47 26 26.93;;;;;0.05;0.015;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1041;;8110;;74.2207199;0.02;-52.8498641;0.022;260.3810438;-38.3925333;04 56 53.016;-52 50 59.60;7.872;0.0;;;0.173;0.014;;;0.943;;;;-0.494;;;;1.437;;;;-0.474;;;;7.8235;0.233;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1042;;8023;A;74.3214727;0.193;53.7521382;0.103;154.4649681;6.6805109;04 57 17.198;+53 45 07.55;;;;;-0.017;0.003;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1043;;8043;;74.3313562;0.181;41.8264603;0.116;163.8321803;-0.7247174;04 57 19.521;+41 49 35.32;10.838;0.037;;;;;;;;;;;;;;;;;;;;;;;10.6353;0.029;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1044;;8076;;74.3519855;0.011;-16.2047936;0.01;215.604342;-32.3536833;04 57 24.476;-16 12 16.89;;;;;;;;;;;;;;;;;;;;;;;;;8.9149;0.313;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1045;;8150;;74.37044;0.011;-53.0142891;0.011;260.5804749;-38.2890328;04 57 28.923;-53 00 51.36;9.729;0.0;;;;;;;;;;;;;;;;;;;;;;;9.529;0.205;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1046;;8130;;74.4570232;0.044;-44.6292233;0.046;249.8821071;-38.4337094;04 57 49.670;-44 37 45.57;9.642;0.0;;;0.25;;;;0.949;;;;-0.481;;;;1.43;;;;-0.478;;;;9.4986;0.399;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1047;?;8066;;74.5392567;0.047;25.0501962;0.017;177.2444019;-10.9192977;04 58 09.387;+25 03 01.62;;;;;0.018;0.005;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1048;;8084;;74.5592823;0.07;-14.4523086;0.06;213.7907287;-31.4923982;04 58 14.203;-14 27 08.28;;;;;;;;;;;;;;;;;;;;;;;;;9.0029;0.357;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1049;;8100;;74.5885949;0.012;-33.6858493;0.015;236.1199367;-37.1325907;04 58 21.260;-33 41 09.37;;;;;;;;;;;;;;;;;;;;;;;;;9.1748;0.339;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1050;;8170;;74.60616;0.014;-44.5773581;0.016;249.8208444;-38.3257348;04 58 25.463;-44 34 38.78;8.76;0.0;;;0.451;0.02;;;;;;;;;;;;;;;;;;;8.4393;0.206;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1051;;8050;;74.6155367;0.022;48.3464161;0.016;158.8466142;3.4847551;04 58 27.730;+48 20 47.18;9.065;0.0;;;;;;;;;;;;;;;;;;;;;;;8.8992;0.08;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1052;;8087;;74.6512115;0.016;-14.7840253;0.015;214.1895533;-31.5409097;04 58 36.276;-14 47 02.78;;;;;0.292;0.01;;;;;;;;;;;;;;;;;;;7.4699;0.293;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1053;;8063;;74.668067;0.02;40.793827;0.013;164.7983857;-1.1685648;04 58 40.324;+40 47 37.85;11.633;0.073;;;;;;;;;;;;;;;;;;;;;;;11.4971;0.135;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1054;;8380;;74.9670979;0.103;-68.5818751;0.11;279.665637;-35.2069762;04 59 52.120;-68 34 55.20;;;;;0.248;0.005;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
