id;category_affiliation_probability_flag;id_2009_A_and_A_498_961_R;binary_system_component;icrs_ra;icrs_ra_error;icrs_dec;icrs_dec_error;gal_longitude;gal_latitude;alpha;delta;B;B_error;B_quality;B_uncertainty_flag;B-V;B-V_error;B-V_quality;B-V_uncertainty_flag;b-y;b-y_error;b-y_quality;b-y_uncertainty_flag;B1;B1_error;B1_quality;B1_uncertainty_flag;B1-B2;B1-B2_error;B1-B2_quality;B1-B2_uncertainty_flag;B2;B2_error;B2_quality;B2_uncertainty_flag;B2-G;B2-G_error;B2-G_quality;B2-G_uncertainty_flag;BP;BP_error;BP_quality;BP_uncertainty_flag;c1;c1_error;c1_quality;c1_uncertainty_flag;D;D_error;D_quality;D_uncertainty_flag;D(V1-G);D(V1-G)_error;D(V1-G)_quality;D(V1-G)_uncertainty_flag;Delta;Delta_error;Delta_quality;Delta_uncertainty_flag;Delta a;Delta a_error;Delta a_quality;Delta a_uncertainty_flag;g';g'_error;g'_quality;g'_uncertainty_flag;G;G_error;G_quality;G_uncertainty_flag;H;H_error;H_quality;H_uncertainty_flag;Hp;Hp_error;Hp_quality;Hp_uncertainty_flag;Hβ;Hβ_error;Hβ_quality;Hβ_uncertainty_flag;i';i'_error;i'_quality;i'_uncertainty_flag;J;J_error;J_quality;J_uncertainty_flag;K;K_error;K_quality;K_uncertainty_flag;m1;m1_error;m1_quality;m1_uncertainty_flag;r';r'_error;r'_quality;r'_uncertainty_flag;RP;RP_error;RP_quality;RP_uncertainty_flag;U;U_error;U_quality;U_uncertainty_flag;U-B;U-B_error;U-B_quality;U-B_uncertainty_flag;U-B1;U-B1_error;U-B1_quality;U-B1_uncertainty_flag;U-B2;U-B2_error;U-B2_quality;U-B2_uncertainty_flag;V;V_error;V_quality;V_uncertainty_flag;V-I;V-I_error;V-I_quality;V-I_uncertainty_flag;V1;V1_error;V1_quality;V1_uncertainty_flag;V1-G;V1-G_error;V1-G_quality;V1-G_uncertainty_flag;VM;VM_error;VM_quality;VM_uncertainty_flag;X;X_error;X_quality;X_uncertainty_flag;Y;Y_error;Y_quality;Y_uncertainty_flag;Z;Z_error;Z_quality;Z_uncertainty_flag
3923;?;26830;A;160.5606054;0.256;-61.8984603;0.256;288.3372032;-2.7442583;10 42 14.580;-61 53 54.47;;;;;;;;;;;;;;;;;;;;;;;;;9.4539;0.154;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
3924;?;26800;;160.5919656;0.024;-20.6032094;0.024;266.380871;32.9530583;10 42 22.106;-20 36 11.75;7.887;0.072;;;0.273;0.012;;;;;;;;;;;;;;;;;;;7.7921;0.45;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
3925;;26767;;160.6219868;0.077;-5.8129462;0.102;254.693382;44.6470756;10 42 29.315;-05 48 46.47;9.559;0.067;;;0.473;0.028;;;;;;;;;;;;;;;;;;;9.2746;0.503;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
3926;?;26843;;160.6505749;0.016;-59.9905631;0.016;287.4684318;-1.0448185;10 42 36.147;-59 59 26.05;10.819;0.026;;;0.05;;;;;;;;;;;;;;;;;;;;10.7527;0.195;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
3927;?;26844;;160.6514622;0.013;-60.0429646;0.013;287.4936883;-1.0907363;10 42 36.359;-60 02 34.76;10.297;0.066;;;0.07;;;;;;;;;;;;;;;;;;;;10.2447;0.114;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
3928;?;26753;;160.7175331;0.012;50.7992613;0.019;159.9672262;56.0629877;10 42 52.208;+50 47 57.40;7.684;0.0;;;0.246;0.02;;;;;;;;;;;;;;;;;;;7.464;0.153;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
3929;;26850;;160.738981;0.617;-64.3944058;0.59;289.5976964;-4.9017181;10 42 57.391;-64 23 40.07;;;;;-0.22;0.012;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
3930;;26790;;160.7573526;0.067;26.3252722;0.065;207.1209806;61.3944991;10 43 01.895;+26 19 32.03;6.05;0.0;;;0.16;0.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
3931;?;26780;;160.8564262;0.012;44.9505235;0.014;169.4973199;58.9019091;10 43 25.525;+44 57 01.73;;;;;0.212;0.015;;;0.953;;;;-0.452;;;;1.405;;;;-0.418;;;;9.0913;0.153;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
3932;;26760;;160.9307235;0.027;57.19896;0.036;150.9488685;52.4164577;10 43 43.344;+57 11 57.21;;;;;-0.038;0.002;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
3933;?;26860;;160.9877565;0.025;-44.0868936;0.029;280.0204665;13.0402176;10 43 57.087;-44 05 12.78;10.286;0.198;;;;;;;0.965;;;;-0.447;;;;1.412;;;;-0.323;;;;10.0414;0.346;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
3934;/;26900;A;161.0367681;0.022;-59.5762433;0.025;287.4442803;-0.5878156;10 44 08.972;-59 34 34.88;;;;;;;;;;;;;;;;;;;;;;;;;8.492;0.138;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
3935;?;26890;;161.1043159;0.014;-54.2930257;0.013;284.9961602;4.0950684;10 44 25.046;-54 17 34.91;9.804;0.423;;;;;;;;;;;;;;;;;;;;;;;9.3492;0.086;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
3936;;26960;;161.1388337;0.015;-66.6745307;0.014;290.8287431;-6.8322211;10 44 33.328;-66 40 28.12;;;;;0.252;0.015;;;;;;;;;;;;;;;;;;;8.5075;0.098;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
3937;;26930;;161.1632463;0.016;-60.965642;0.016;288.1508664;-1.7858679;10 44 39.219;-60 57 56.34;8.885;0.031;;;;;;;0.853;;;;-0.67;;;;1.523;;;;-0.559;;;;8.8734;0.24;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
3938;?;26910;;161.2109812;0.027;-42.4334353;0.032;279.3457189;14.5669816;10 44 50.662;-42 26 00.29;9.247;0.0;;;0.248;0.002;;;0.96;;;;-0.455;;;;1.415;;;;-0.375;;;;9.06;0.297;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
3939;;26980;;161.3259892;0.013;-54.2838427;0.012;285.1064851;4.1637568;10 45 18.312;-54 17 02.09;9.905;0.416;;;;;;;;;;;;;;;;;;;;;;;9.3646;0.547;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
3940;;26950;;161.3764212;0.01;-45.129838;0.013;280.7813959;12.2572443;10 45 30.359;-45 07 47.41;;;;;;;;;0.963;;;;-0.437;;;;1.4;;;;-0.365;;;;9.5141;0.134;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
3941;;26990;;161.3963746;0.012;-69.046627;0.013;292.0423051;-8.8794581;10 45 35.142;-69 02 47.84;11.054;0.03;;;0.27;;;;;;;;;;;;;;;;;;;;10.961;0.171;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
3942;;26880;;161.4257977;0.052;27.9650112;0.054;203.8404918;62.1941651;10 45 42.191;+27 57 54.30;;;;;0.44;0.027;;;;;;;;;;;;;;;;;;;9.2168;0.106;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
3943;;26920;A;161.4508269;0.049;-10.713622;0.04;259.8654065;41.4198725;10 45 48.222;-10 42 48.83;7.322;0.0;;;-0.078;0.004;;;0.836;;;;-0.705;;;;1.541;;;;-0.699;;;;7.4726;0.306;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
3944;*;27020;;161.4608219;0.018;-68.13045;0.018;291.6286749;-8.0593618;10 45 50.637;-68 07 49.53;;;;;0.029;0.007;;;0.896;;;;-0.579;;;;1.475;;;;-0.59;;;;8.441;0.179;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
3945;?;26870;;161.4995516;0.021;56.9209034;0.027;150.9755805;52.832055;10 45 59.881;+56 55 14.99;;;;;0.311;0.001;;;;;;;;;;;;;;;;;;;7.2153;0.285;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
3946;;26970;A;161.5528635;0.018;-5.7605834;0.017;255.6251104;45.2997822;10 46 12.695;-05 45 37.92;8.992;0.216;;;0.0;0.495;;;;;;;;;;;;;;;;;;;8.8952;0.199;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
3947;;27010;A;161.6037637;0.016;-59.445172;0.016;287.6378694;-0.337886;10 46 24.965;-59 26 42.76;8.754;0.0;;;;;;;0.892;;;;-0.59;;;;1.482;;;;-0.567;;;;8.8884;0.312;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
3948;?;27000;;161.7168204;0.188;-17.2969584;0.251;265.1603909;36.277895;10 46 52.054;-17 17 48.73;;;;;0.112;0.004;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
3949;;26940;;161.7256013;0.011;46.479511;0.012;166.3255495;58.7851207;10 46 54.156;+46 28 46.25;10.086;0.064;;;0.33;0.001;;;;;;;;;;;;;;;;;;;9.6352;0.269;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
3950;?;27130;;161.8119798;0.017;-72.4673489;0.016;293.7979391;-11.8354811;10 47 14.918;-72 28 02.50;10.041;0.031;;;;;;;;;;;;;;;;;;;;;;;9.8965;0.213;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
3951;?;27060;;161.8243443;0.01;-52.1432248;0.011;284.3743943;6.198385;10 47 17.899;-52 08 35.63;10.058;0.067;;;;;;;0.98;;;;-0.412;;;;1.392;;;;-0.279;;;;9.6397;0.489;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
3952;;27050;;161.8465481;0.042;-42.5690096;0.049;279.8380118;14.67202;10 47 23.208;-42 34 08.58;8.709;0.0;;;;;;;0.976;;;;-0.425;;;;1.401;;;;-0.322;;;;8.5124;0.357;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
3953;?;27040;;161.9080565;0.071;-15.2619932;0.061;263.8776195;38.0470688;10 47 37.936;-15 15 42.97;;;;;-0.019;0.004;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
3954;;27030;;161.9231453;0.028;-9.501661;0.024;259.3442037;42.6589193;10 47 41.544;-09 30 05.16;8.981;0.015;;;;;;;;;;;;;;;;;;;;;;;8.8162;0.702;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
3955;;27080;;161.9516905;0.095;-46.393401;0.108;281.7509652;11.3315735;10 47 48.418;-46 23 36.29;10.0;0.001;;;0.095;0.023;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
3956;?;27070;;161.9567857;0.118;-33.9918856;0.154;275.5454872;22.2236166;10 47 49.676;-33 59 30.80;;;;;;;;;;;;;;;;;;;;;;;;;9.5729;0.556;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
3957;?;27098;;161.9780511;0.018;-58.6987132;0.018;287.4659029;0.4135324;10 47 54.797;-58 41 55.58;;;;;;;;;;;;;;;;;;;;;;;;;8.9604;0.395;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
3958;?;27090;;161.9868961;0.015;-59.1480834;0.014;287.6752132;0.0158587;10 47 56.877;-59 08 53.06;11.244;0.064;;;;;;;;;;;;;;;;;;;;;;;10.6667;0.097;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
3959;?;27005;A;162.0104851;0.121;41.109959;0.174;176.0188769;61.104577;10 48 02.523;+41 06 35.94;;;;;0.202;0.012;;;;;;;;;;;;;;;;;;;7.0743;0.354;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
3960;;27100;;162.1765514;0.061;-37.7211757;0.077;277.6527119;19.0531241;10 48 42.385;-37 43 16.28;10.067;0.099;;;;;;;;;;;;;;;;;;;;;;;9.8105;0.109;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
3961;;27150;;162.2088416;0.023;-55.3594241;0.026;286.0554598;3.443377;10 48 50.141;-55 21 33.97;7.839;0.0;;;-0.082;0.006;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
3962;;27120;;162.2266535;0.016;-39.6594113;0.017;278.6637863;17.3690967;10 48 54.420;-39 39 33.72;10.219;0.058;;;;;;;;;;;;;;;;;;;;;;;9.9586;0.269;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
3963;?;27110;;162.2399751;0.058;-27.9177469;0.059;272.4117562;27.5982004;10 48 57.643;-27 55 04.13;;;;;0.233;0.002;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
3964;;27095;;162.3734555;0.024;21.6944098;0.019;217.3139435;61.7853906;10 49 29.648;+21 41 39.82;;;;;0.231;0.021;;;;;;;;;;;;;;;;;;;9.1653;0.214;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
3965;?;27140;A;162.3982625;0.019;-3.3827062;0.015;254.2497802;47.638077;10 49 35.579;-03 22 57.75;10.122;0.047;;;;;;;0.988;;;;-0.397;;;;1.385;;;;-0.292;;;;9.9344;0.051;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
3966;;27260;;162.5008531;0.022;-80.9334007;0.021;298.0934179;-19.2245291;10 50 00.459;-80 56 00.52;;;;;0.197;0.007;;;0.94;;;;-0.5;;;;1.44;;;;-0.408;;;;8.0972;0.632;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
3967;*;27170;;162.5752093;0.036;-8.8978352;0.041;259.5222172;43.5318596;10 50 18.052;-08 53 51.94;;;;;0.156;0.003;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
3968;;27190;;162.5824723;0.043;-55.2083114;0.04;286.1771778;3.6743636;10 50 19.812;-55 12 29.93;9.942;0.192;;;0.19;;;;;;;;;;;;;;;;;;;;9.7194;0.19;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
3969;;27200;;162.6331665;0.021;-55.9830703;0.02;286.5513795;2.9950108;10 50 31.998;-55 58 59.22;8.761;0.0;;;;;;;0.836;;;;-0.702;;;;1.538;;;;-0.711;;;;8.7898;0.338;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
3970;?;27160;;162.6520407;0.019;23.4063672;0.024;213.9357489;62.4966463;10 50 36.576;+23 24 22.71;;;;;0.333;0.015;;;;;;;;;;;;;;;;;;;6.6995;1.038;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
3971;;27210;;162.6917416;0.071;-55.9288242;0.066;286.5563826;3.0582009;10 50 46.058;-55 55 43.81;;;;;;;;;0.954;;;;-0.457;;;;1.411;;;;-0.468;;;;9.7529;0.267;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
3972;;27175;;162.892632;0.012;50.254661;0.015;159.423312;57.5188888;10 51 34.320;+50 15 17.01;;;;;0.281;0.015;;;;;;;;;;;;;;;;;;;8.7358;0.782;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
3973;;27220;;162.9821592;0.024;-55.5143881;0.026;286.517865;3.5020837;10 51 55.730;-55 30 51.87;9.348;0.039;;;;;;;0.89;;;;-0.599;;;;1.489;;;;-0.606;;;;9.3443;0.058;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
3974;;27180;;163.0049391;0.015;55.355176;0.017;152.0833577;54.4824926;10 52 01.196;+55 21 18.51;;;;;0.292;0.002;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
3975;?;27240;;163.167782;0.056;-43.4493092;0.067;281.1441366;14.3413093;10 52 40.288;-43 26 57.52;9.526;0.0;;;0.25;;;;0.948;;;;-0.479;;;;1.427;;;;-0.451;;;;9.42;0.222;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
3976;*;27250;;163.4861462;0.022;-12.4346085;0.022;263.3647981;41.238528;10 53 56.717;-12 26 04.17;;;;;0.364;0.009;;;0.988;;;;-0.401;;;;1.389;;;;-0.285;;;;7.4901;0.636;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
3977;?;27230;;163.4950222;0.087;43.1898521;0.114;171.1563187;61.3536359;10 53 58.724;+43 11 23.88;;;;;-0.039;0.01;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
3978;?;27290;;163.5218033;0.014;-60.3527941;0.015;288.904893;-0.7169058;10 54 05.333;-60 21 10.57;;;;;0.51;;;;;;;;;;;;;;;;;;;;8.025;0.789;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
3979;;27320;;163.6547836;0.018;-58.9071273;0.016;288.3363093;0.6139577;10 54 37.180;-58 54 25.65;;;;;;;;;0.833;;;;-0.704;;;;1.537;;;;-0.664;;;;9.4151;0.18;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
3980;?;27280;;163.6754245;0.025;25.4907258;0.033;209.8533428;63.8459721;10 54 42.174;+25 29 26.66;;;;;0.291;0.009;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
3981;?;27270;;163.7427036;0.084;39.7905609;0.11;177.7595727;62.780379;10 54 58.224;+39 47 26.08;;;;;;;;;0.948;;;;-0.479;;;;1.427;;;;-0.328;;;;8.3922;0.296;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
