id;category_affiliation_probability_flag;id_2009_A_and_A_498_961_R;binary_system_component;icrs_ra;icrs_ra_error;icrs_dec;icrs_dec_error;gal_longitude;gal_latitude;alpha;delta;Gaia DR2_proper_motion_ra;Gaia DR2_proper_motion_ra_error;Gaia DR2_proper_motion_dec;Gaia DR2_proper_motion_dec_error;Gaia DR2_parallax;Gaia DR2_parallax_error;Hipparcos_proper_motion_ra;Hipparcos_proper_motion_ra_error;Hipparcos_proper_motion_dec;Hipparcos_proper_motion_dec_error;Hipparcos_parallax;Hipparcos_parallax_error;Gaia DR3_proper_motion_ra;Gaia DR3_proper_motion_ra_error;Gaia DR3_proper_motion_dec;Gaia DR3_proper_motion_dec_error;Gaia DR3_parallax;Gaia DR3_parallax_error
1211;;9170;;80.7681859;0.085;-51.3169158;0.089;258.3458368;-34.4123945;05 23 04.356;-51 19 00.68;-0.772;0.105;-6.542;0.109;7.3174;0.0546;1.057;0.11;-8.996;0.119;7.433;0.091;1.58;0.56;-9.03;0.77;6.52;0.6
1212;;8948;A;80.7738175;0.313;31.1585092;0.248;175.4888129;-2.8903956;05 23 05.712;+31 09 30.66;8.757;1.424;-10.601;1.405;2.1547;0.6572;2.563;0.403;-3.632;0.301;2.339;0.411;3.16;1.77;-3.21;1.19;0.16;1.66
1213;;8956;;80.7754135;0.017;28.8537891;0.013;177.3976208;-4.1874034;05 23 06.093;+28 51 13.78;4.11;0.13;-7.977;0.077;1.398;0.0549;4.058;0.023;-8.006;0.016;1.445;0.018;-99.99;-99.99;-99.99;-99.99;-99.99;-99.99
1214;;8954;;80.7851718;0.035;30.2244017;0.026;176.2670371;-3.4089047;05 23 08.440;+30 13 27.95;3.191;0.122;-5.579;0.079;1.1566;0.0585;3.06;0.047;-5.279;0.031;1.309;0.039;-99.99;-99.99;-99.99;-99.99;-99.99;-99.99
1215;;8947;;80.7865633;0.034;32.5245261;0.025;174.3661816;-2.1105003;05 23 08.776;+32 31 28.37;-0.529;0.23;-3.727;0.149;0.9065;0.1014;-0.834;0.043;-3.817;0.031;0.966;0.038;-99.99;-99.99;-99.99;-99.99;-99.99;-99.99
1216;;8959;;80.8915936;0.033;34.9186428;0.024;172.4389434;-0.6865689;05 23 33.987;+34 55 07.31;-2.096;0.12;-4.553;0.083;1.3118;0.0618;-2.284;0.046;-4.545;0.032;1.465;0.038;-99.99;-99.99;-99.99;-99.99;-99.99;-99.99
1217;;8973;;80.9026872;0.019;29.5743649;0.014;176.8628743;-3.6904465;05 23 36.658;+29 34 27.89;-2.81;0.082;-10.723;0.059;1.6241;0.0542;-2.926;0.023;-10.294;0.017;1.812;0.023;-99.99;-99.99;-99.99;-99.99;-99.99;-99.99
1218;;8972;;80.9245199;0.019;32.1138305;0.013;174.7713657;-2.2458732;05 23 41.880;+32 06 49.91;-0.241;0.096;-7.504;0.069;2.2994;0.0618;-0.243;0.024;-7.396;0.016;2.352;0.024;-99.99;-99.99;-99.99;-99.99;-99.99;-99.99
1219;;8974;;80.9309218;0.031;30.3719498;0.023;176.2158248;-3.2218412;05 23 43.430;+30 22 19.14;-4.705;0.082;-11.317;0.055;2.7206;0.0472;-4.63;0.042;-11.332;0.029;2.95;0.037;-99.99;-99.99;-99.99;-99.99;-99.99;-99.99
1220;;9030;;80.9318106;0.021;-8.2895994;0.018;210.4252558;-23.242474;05 23 43.631;-08 17 22.47;-0.645;0.079;-2.408;0.071;6.9085;0.0461;-0.589;0.027;-2.417;0.021;7.027;0.03;-2.15;0.67;-1.92;0.52;8.19;0.74
1221;;9020;;80.9598351;0.043;2.0821744;0.033;200.6242948;-18.3706679;05 23 50.363;+02 04 55.78;1.142;0.092;0.063;0.082;2.6926;0.0643;1.214;0.048;0.186;0.04;2.789;0.057;0.38;0.97;0.88;0.48;1.88;1.09
1222;;9056;;81.0347205;0.03;-9.8325969;0.028;211.9894544;-23.8208497;05 24 08.333;-09 49 57.36;6.104;0.077;3.314;0.082;2.9562;0.0405;6.134;0.039;3.495;0.036;3.025;0.045;4.87;1.0;2.36;0.84;3.14;1.13
1223;;8984;;81.0550384;0.017;26.757093;0.013;179.2791113;-5.1573877;05 24 13.217;+26 45 25.74;-6.605;0.09;-13.463;0.063;4.6262;0.0498;-6.659;0.022;-13.218;0.017;4.899;0.02;-99.99;-99.99;-99.99;-99.99;-99.99;-99.99
1224;?;8970;A;81.0816596;0.076;42.6038177;0.049;166.1672379;3.7628878;05 24 19.616;+42 36 13.78;-38.123;1.431;4.588;0.845;-11.7793;0.6025;-4.194;0.116;-1.905;0.108;2.685;0.101;-99.99;-99.99;-99.99;-99.99;-99.99;-99.99
1225;?;8983;;81.1230213;0.02;32.8190573;0.015;174.2823571;-1.7105698;05 24 29.528;+32 49 08.58;-0.589;0.105;-3.035;0.07;0.9282;0.0526;-0.517;0.026;-3.183;0.019;0.985;0.021;-99.99;-99.99;-99.99;-99.99;-99.99;-99.99
1226;*;9070;A;81.1682233;0.039;-2.497853;0.028;204.9851042;-20.3958487;05 24 40.379;-02 29 52.32;-6.539;0.373;-2.585;0.244;0.6657;0.2411;-4.807;0.054;-1.41;0.037;2.887;0.068;-3.64;0.67;-1.92;0.44;1.72;0.66
1227;;8988;;81.1998397;0.019;33.3465047;0.014;173.8820587;-1.3609695;05 24 47.947;+33 20 47.88;3.53;0.081;-23.753;0.056;4.3739;0.045;3.667;0.024;-23.512;0.018;4.509;0.022;-99.99;-99.99;-99.99;-99.99;-99.99;-99.99
1228;;8986;;81.2015421;0.019;34.0843009;0.015;173.2723337;-0.945358;05 24 48.373;+34 05 03.54;2.473;0.091;-6.583;0.069;0.7172;0.0593;2.469;0.024;-6.586;0.018;0.741;0.023;-99.99;-99.99;-99.99;-99.99;-99.99;-99.99
1229;;8999;;81.2060683;0.018;31.0255538;0.013;175.8072788;-2.6590787;05 24 49.460;+31 01 32.05;-0.477;0.084;-3.579;0.062;1.3258;0.0625;-0.559;0.021;-3.655;0.015;1.373;0.02;-99.99;-99.99;-99.99;-99.99;-99.99;-99.99
1230;;9007;;81.2237555;0.017;27.7168682;0.012;178.5639233;-4.4972327;05 24 53.716;+27 43 00.83;-11.669;0.092;-7.755;0.063;3.374;0.0546;-11.681;0.023;-7.681;0.016;3.487;0.021;-99.99;-99.99;-99.99;-99.99;-99.99;-99.99
1231;;9006;;81.2423668;0.02;30.079539;0.014;176.6094683;-3.1631392;05 24 58.169;+30 04 46.39;0.592;0.095;-2.875;0.064;0.7059;0.0479;0.458;0.027;-3.07;0.018;0.861;0.023;-99.99;-99.99;-99.99;-99.99;-99.99;-99.99
1232;;9008;;81.2528584;0.025;29.9571283;0.019;176.7161612;-3.2241217;05 25 00.681;+29 57 25.81;3.235;0.109;-6.736;0.064;3.4094;0.049;3.43;0.032;-6.892;0.024;3.426;0.028;-99.99;-99.99;-99.99;-99.99;-99.99;-99.99
1233;*;9120;A;81.255015;0.035;-2.8154783;0.026;205.3277826;-20.468547;05 25 01.198;-02 48 55.69;-0.661;0.122;-2.071;0.091;2.6125;0.0643;-0.533;0.043;-1.952;0.033;2.75;0.047;5.24;0.68;-0.53;0.44;2.35;0.68
1234;;9023;;81.2554848;0.014;27.8480124;0.01;178.4704706;-4.4007652;05 25 01.295;+27 50 53.35;16.45;0.078;-23.242;0.06;4.146;0.0485;16.343;0.017;-23.07;0.013;4.228;0.017;-99.99;-99.99;-99.99;-99.99;-99.99;-99.99
1235;?;9028;;81.2980323;0.016;26.4652282;0.012;179.643995;-5.1396217;05 25 11.522;+26 27 54.87;1.602;0.102;-3.642;0.072;1.0635;0.066;1.486;0.02;-3.527;0.013;1.088;0.02;-99.99;-99.99;-99.99;-99.99;-99.99;-99.99
1236;;9024;;81.3210173;0.022;32.6780754;0.015;174.4925943;-1.6518775;05 25 17.053;+32 40 41.30;-6.474;0.119;-11.174;0.076;2.8192;0.0529;-6.349;0.027;-11.236;0.019;2.991;0.021;-99.99;-99.99;-99.99;-99.99;-99.99;-99.99
1237;;9026;;81.3243348;0.021;32.6164085;0.015;174.5452548;-1.684124;05 25 17.840;+32 36 58.98;1.441;0.127;-2.497;0.083;1.6326;0.0714;1.481;0.027;-2.527;0.019;1.735;0.023;-99.99;-99.99;-99.99;-99.99;-99.99;-99.99
1238;?;9035;;81.337006;0.022;30.373343;0.014;176.4114243;-2.9309822;05 25 20.880;+30 22 24.25;1.368;0.106;-6.468;0.081;0.8046;0.0803;1.339;0.026;-6.574;0.018;0.941;0.025;-99.99;-99.99;-99.99;-99.99;-99.99;-99.99
1239;;9047;;81.3445981;0.019;29.3633147;0.014;177.2540045;-3.4899915;05 25 22.696;+29 21 48.05;3.775;0.09;-8.258;0.065;1.5126;0.051;3.813;0.025;-8.077;0.018;1.653;0.022;-99.99;-99.99;-99.99;-99.99;-99.99;-99.99
1240;;9049;;81.3598844;0.016;29.6424039;0.012;177.0295382;-3.3230766;05 25 26.377;+29 38 32.77;-4.361;0.089;-2.049;0.06;2.6694;0.0437;-4.289;0.022;-2.089;0.016;2.695;0.018;-99.99;-99.99;-99.99;-99.99;-99.99;-99.99
1241;;9034;;81.3660671;0.022;32.6669223;0.016;174.5230914;-1.6267155;05 25 27.862;+32 40 00.93;0.752;0.096;-5.053;0.063;1.1021;0.055;0.581;0.027;-4.984;0.019;1.232;0.026;-99.99;-99.99;-99.99;-99.99;-99.99;-99.99
1242;;9054;;81.3663058;0.02;26.9903583;0.015;179.2399965;-4.7968538;05 25 27.917;+26 59 25.30;-7.014;0.09;-1.547;0.062;2.6673;0.0443;-6.945;0.028;-1.596;0.02;2.756;0.023;-99.99;-99.99;-99.99;-99.99;-99.99;-99.99
1243;*;9150;A;81.3794883;0.103;-0.5439258;0.086;203.2642151;-19.2813144;05 25 31.078;-00 32 38.35;-99.99;-99.99;-99.99;-99.99;-99.99;-99.99;-2.113;0.133;-0.256;0.099;3.101;0.151;-1.45;0.64;-3.67;0.41;4.65;0.58
1244;;9058;;81.4001044;0.02;27.0767416;0.015;179.1847603;-4.7237894;05 25 36.020;+27 04 36.46;2.852;0.079;-7.701;0.055;2.115;0.0407;2.946;0.027;-7.821;0.02;2.261;0.023;-99.99;-99.99;-99.99;-99.99;-99.99;-99.99
1245;;9160;;81.4020814;0.042;-1.4912904;0.031;204.1586795;-19.7138388;05 25 36.506;-01 29 28.77;0.785;0.213;0.398;0.144;2.5721;0.1372;1.094;0.06;0.688;0.04;2.905;0.068;3.56;0.41;-0.68;0.23;4.44;0.47
1246;;9048;;81.4056139;0.016;33.2626967;0.012;174.0479362;-1.2655783;05 25 37.346;+33 15 45.83;1.008;0.099;-2.93;0.071;0.5494;0.0495;0.969;0.022;-3.182;0.015;0.547;0.019;-99.99;-99.99;-99.99;-99.99;-99.99;-99.99
1247;;9053;;81.4087553;0.021;30.6872484;0.016;176.1854293;-2.7042536;05 25 38.099;+30 41 14.22;3.304;0.079;-5.732;0.056;2.0178;0.0443;3.316;0.026;-5.384;0.019;2.118;0.023;-99.99;-99.99;-99.99;-99.99;-99.99;-99.99
1248;;9051;;81.4254214;0.017;33.3191869;0.013;174.0103909;-1.2202319;05 25 42.093;+33 19 09.21;5.697;0.095;-7.373;0.07;1.8325;0.0489;5.534;0.023;-7.46;0.016;1.792;0.02;-99.99;-99.99;-99.99;-99.99;-99.99;-99.99
1249;;9052;;81.4257571;0.03;32.3009261;0.026;174.8547025;-1.7898729;05 25 42.180;+32 18 03.39;0.051;0.093;-1.459;0.066;1.1108;0.0433;0.013;0.039;-1.22;0.03;1.231;0.035;-99.99;-99.99;-99.99;-99.99;-99.99;-99.99
1250;;9055;;81.430297;0.025;30.7441524;0.019;176.1485465;-2.6570977;05 25 43.267;+30 44 39.07;1.894;0.071;-7.08;0.053;0.8473;0.0428;1.851;0.031;-7.068;0.023;0.928;0.028;-99.99;-99.99;-99.99;-99.99;-99.99;-99.99
1251;?;9062;;81.458922;0.018;27.4626709;0.012;178.8921342;-4.4657309;05 25 50.147;+27 27 46.07;-3.649;0.097;-22.108;0.071;3.5912;0.0678;-3.672;0.024;-22.076;0.014;3.592;0.022;-99.99;-99.99;-99.99;-99.99;-99.99;-99.99
1252;;9061;;81.4663719;0.021;31.4511919;0.016;175.5789222;-2.2364078;05 25 51.926;+31 27 04.45;0.575;0.098;-6.182;0.075;1.0998;0.07;0.504;0.025;-6.333;0.02;1.18;0.024;-99.99;-99.99;-99.99;-99.99;-99.99;-99.99
1253;;9063;;81.4811332;0.019;33.1073965;0.014;174.2120514;-1.3001095;05 25 55.466;+33 06 26.84;3.43;0.096;-11.763;0.067;2.0523;0.0501;3.246;0.027;-11.667;0.017;2.219;0.023;-99.99;-99.99;-99.99;-99.99;-99.99;-99.99
1254;;9190;;81.4828185;0.023;-2.3355291;0.018;204.9901951;-20.0421252;05 25 55.873;-02 20 07.92;0.671;0.11;-1.758;0.095;2.6913;0.058;0.929;0.031;-1.551;0.022;2.826;0.031;1.41;0.93;-2.51;0.6;2.44;0.96
1255;;9057;;81.4828917;0.022;34.2092141;0.017;173.2994498;-0.6825175;05 25 55.893;+34 12 33.07;1.415;0.102;0.953;0.076;1.9734;0.0581;1.591;0.027;0.969;0.021;2.003;0.027;-99.99;-99.99;-99.99;-99.99;-99.99;-99.99
1256;;9145;;81.5111819;0.04;15.671746;0.028;188.8802708;-10.8810678;05 26 02.690;+15 40 18.42;-0.757;0.175;-6.408;0.107;5.0319;0.0846;-1.902;0.056;-5.687;0.037;4.99;0.043;-0.17;0.78;-6.99;0.45;6.03;0.65
1257;;9059;;81.5360211;0.032;32.8048972;0.024;174.4886918;-1.4310314;05 26 08.639;+32 48 17.60;2.514;0.095;-0.686;0.067;1.5779;0.0598;2.584;0.04;-0.539;0.027;1.843;0.041;-99.99;-99.99;-99.99;-99.99;-99.99;-99.99
1258;;9072;;81.5380606;0.031;32.1469773;0.023;175.0355483;-1.7971568;05 26 09.130;+32 08 49.14;5.086;0.074;0.991;0.055;1.9771;0.0421;4.37;0.037;0.668;0.026;2.008;0.035;-99.99;-99.99;-99.99;-99.99;-99.99;-99.99
1259;;9080;;81.5512779;0.021;32.0342896;0.015;175.1353304;-1.8507995;05 26 12.312;+32 02 03.44;0.171;0.086;-2.934;0.062;1.2801;0.0523;-0.085;0.025;-2.701;0.018;1.441;0.025;-99.99;-99.99;-99.99;-99.99;-99.99;-99.99
1260;;9090;;81.5608722;0.031;29.9866577;0.022;176.8408519;-2.9862888;05 26 14.617;+29 59 11.85;-0.184;0.106;-1.233;0.081;2.5037;0.0695;-0.211;0.037;-1.161;0.026;2.537;0.036;-0.1;0.84;-0.73;0.47;4.9;0.82
1261;?;9340;;81.5618618;0.015;-56.6448245;0.016;264.7890343;-33.9595653;05 26 14.840;-56 38 41.82;7.351;0.059;31.398;0.059;2.5227;0.0341;7.488;0.02;31.407;0.02;2.48;0.016;5.92;0.82;31.21;0.93;3.01;0.74
1262;;9082;;81.5687072;0.016;33.2622856;0.012;174.1245666;-1.152759;05 26 16.485;+33 15 44.26;1.94;0.076;-2.222;0.056;0.842;0.0419;1.602;0.022;-2.386;0.016;0.854;0.019;-99.99;-99.99;-99.99;-99.99;-99.99;-99.99
1263;*;9110;;81.572974;-99.99;28.607533;-99.99;177.994;-3.745;05 26 17.514;+28 36 27.12;-99.99;-99.99;-99.99;-99.99;-99.99;-99.99;-99.99;-99.99;-99.99;-99.99;-99.99;-99.99;22.76;0.42;-173.58;0.18;24.36;0.34
1264;;9084;;81.5782539;0.021;33.884549;0.015;173.6128333;-0.7985263;05 26 18.788;+33 53 04.65;-7.623;0.102;-14.699;0.07;3.5805;0.0577;-7.368;0.024;-14.56;0.018;3.856;0.022;-99.99;-99.99;-99.99;-99.99;-99.99;-99.99
1265;;9104;;81.5878259;0.952;31.2174645;0.74;175.8309465;-2.2808239;05 26 21.088;+31 13 02.87;-99.99;-99.99;-99.99;-99.99;-99.99;-99.99;-99.99;-99.99;-99.99;-99.99;-99.99;-99.99;-99.99;-99.99;-99.99;-99.99;-99.99;-99.99
1266;;9123;;81.608756;0.014;30.6201418;0.011;176.3372941;-2.5989343;05 26 26.087;+30 37 12.69;9.149;0.084;-8.426;0.059;2.4231;0.0465;8.946;0.017;-8.212;0.013;2.46;0.016;-99.99;-99.99;-99.99;-99.99;-99.99;-99.99
1267;;9132;;81.6201036;0.018;30.3612915;0.014;176.5579314;-2.735036;05 26 28.824;+30 21 40.80;-0.772;0.078;-4.412;0.056;1.023;0.0516;-0.706;0.023;-4.58;0.018;1.047;0.022;-99.99;-99.99;-99.99;-99.99;-99.99;-99.99
1268;;9106;;81.6202341;0.032;33.2999353;0.026;174.1173878;-1.0960006;05 26 28.862;+33 18 00.01;-99.99;-99.99;-99.99;-99.99;-99.99;-99.99;0.12;0.043;-3.39;0.031;0.918;0.038;-99.99;-99.99;-99.99;-99.99;-99.99;-99.99
1269;;9137;;81.6245684;0.018;29.0594484;0.013;177.6432083;-3.4564483;05 26 29.895;+29 03 34.17;0.283;0.081;-10.777;0.059;1.4532;0.0467;0.162;0.026;-10.62;0.018;1.586;0.02;-99.99;-99.99;-99.99;-99.99;-99.99;-99.99
1270;;9140;;81.7033615;0.041;34.3917771;0.027;173.2497664;-0.4294724;05 26 48.818;+34 23 30.31;2.134;0.132;-6.566;0.094;1.455;0.0919;2.441;0.059;-6.702;0.038;1.611;0.051;0.11;0.53;-7.16;0.21;1.55;0.42
1271;;9144;;81.7246802;0.014;32.5474779;0.01;174.791015;-1.4428847;05 26 53.929;+32 32 51.03;-4.297;0.093;-8.305;0.069;3.4167;0.0651;-4.266;0.017;-8.233;0.012;3.652;0.017;-99.99;-99.99;-99.99;-99.99;-99.99;-99.99
1272;;9230;;81.7261571;0.04;3.6146715;0.033;199.6243074;-16.9471447;05 26 54.274;+03 36 52.77;0.793;0.124;-0.501;0.102;2.7216;0.0715;0.824;0.049;-0.263;0.038;3.042;0.048;1.18;0.75;-0.05;0.37;2.86;0.9
1273;;9155;;81.7395852;0.018;31.0683438;0.013;176.027298;-2.2560393;05 26 57.501;+31 04 06.10;0.139;0.09;-3.67;0.071;0.5593;0.0571;0.036;0.021;-3.826;0.016;0.555;0.019;-99.99;-99.99;-99.99;-99.99;-99.99;-99.99
1274;;9165;;81.7631797;0.017;30.8027595;0.012;176.2594363;-2.3869777;05 27 03.162;+30 48 10.13;3.846;0.096;-5.962;0.06;1.289;0.0428;3.828;0.022;-6.014;0.015;1.353;0.018;-99.99;-99.99;-99.99;-99.99;-99.99;-99.99
1275;*;9300;;81.7722195;0.123;-40.9430985;0.141;246.0237047;-32.7301525;05 27 05.330;-40 56 36.77;13.964;0.153;89.66;0.204;11.2581;0.0875;14.935;0.168;95.769;0.194;11.509;0.146;1.27;0.49;105.69;0.66;10.88;0.61
1276;?;9175;;81.8058842;0.031;30.7603996;0.024;176.315092;-2.3800355;05 27 13.409;+30 45 37.59;4.104;0.245;-5.413;0.171;1.3034;0.0831;3.759;0.042;-5.378;0.031;1.187;0.036;-99.99;-99.99;-99.99;-99.99;-99.99;-99.99
1277;;9220;;81.8078637;0.042;15.2575809;0.03;189.3923439;-10.8610054;05 27 13.897;+15 15 27.42;-6.137;0.15;-10.884;0.117;6.5592;0.1015;-6.121;0.058;-10.618;0.037;6.605;0.047;-6.51;0.45;-10.83;0.24;7.67;0.37
1278;;9130;;81.8412935;0.015;44.8209482;0.01;164.6240983;5.4514581;05 27 21.902;+44 49 15.86;6.414;0.075;-27.899;0.067;3.274;0.0655;6.523;0.02;-27.745;0.016;3.507;0.018;-99.99;-99.99;-99.99;-99.99;-99.99;-99.99
1279;;9255;;81.9055739;0.018;-6.8764047;0.016;209.5162135;-21.7513462;05 27 37.337;-06 52 35.08;-1.512;0.188;-2.499;0.141;1.1977;0.1022;-0.921;0.023;-2.624;0.021;1.523;0.027;-0.32;0.78;-2.25;0.65;2.95;1.16
1280;?;8870;A;81.9142982;0.017;74.5568238;0.015;138.35786;20.7813833;05 27 39.435;+74 33 24.45;-2.26;0.084;23.486;0.075;8.6058;0.0492;-2.437;0.019;23.728;0.02;8.847;0.022;-3.12;0.38;24.33;0.69;8.42;0.6
1281;;9208;;81.9335052;0.018;30.9571897;0.013;176.2122068;-2.1796364;05 27 44.040;+30 57 26.09;3.988;0.09;-7.897;0.064;2.1006;0.0503;3.953;0.023;-7.851;0.016;2.144;0.019;-99.99;-99.99;-99.99;-99.99;-99.99;-99.99
1282;?;9204;;81.9409372;0.017;32.0477421;0.014;175.3081627;-1.5689558;05 27 45.824;+32 02 52.07;1.443;0.109;-9.675;0.067;3.4389;0.047;1.615;0.024;-9.752;0.018;3.715;0.018;-99.99;-99.99;-99.99;-99.99;-99.99;-99.99
1283;;9260;;81.9491489;0.02;-5.5391235;0.016;208.2542338;-21.1108382;05 27 47.792;-05 32 20.86;4.297;0.087;3.849;0.076;1.3956;0.0558;4.078;0.025;4.004;0.021;1.48;0.029;-99.99;-99.99;-99.99;-99.99;-99.99;-99.99
1284;;9215;;81.9578782;0.021;29.8013039;0.014;177.1866579;-2.803145;05 27 49.886;+29 48 04.78;2.64;0.097;-2.864;0.069;1.1225;0.0816;2.667;0.027;-2.908;0.018;1.088;0.026;-99.99;-99.99;-99.99;-99.99;-99.99;-99.99
1285;;9206;;81.969743;0.02;34.0195791;0.015;173.6816145;-0.4536203;05 27 52.743;+34 01 10.51;2.404;0.078;-2.782;0.059;1.0242;0.0457;2.38;0.027;-2.658;0.019;0.968;0.025;-99.99;-99.99;-99.99;-99.99;-99.99;-99.99
1286;?;9250;;81.9759786;0.038;1.1050502;0.032;202.0442205;-17.9628474;05 27 54.231;+01 06 18.07;1.445;0.119;-0.278;0.106;2.7427;0.0705;1.553;0.048;-0.121;0.037;2.954;0.041;1.01;1.01;-0.15;0.5;4.76;1.05
1287;;9232;;81.988346;0.016;27.5082058;0.012;179.1151142;-4.0495407;05 27 57.217;+27 30 29.55;-6.081;0.087;-3.051;0.059;2.3913;0.0562;-6.167;0.02;-2.97;0.014;2.554;0.017;-99.99;-99.99;-99.99;-99.99;-99.99;-99.99
1288;;9233;;82.0012666;0.028;26.0178419;0.022;180.3684701;-4.8618983;05 28 00.319;+26 01 03.90;-17.193;0.624;-5.272;0.37;3.0433;0.4132;-14.589;0.04;-6.361;0.026;3.727;0.033;-99.99;-99.99;-99.99;-99.99;-99.99;-99.99
1289;;9200;;82.0499835;0.021;41.8351157;0.019;167.2072419;3.9313816;05 28 11.991;+41 50 06.49;0.814;0.107;-2.498;0.083;1.1726;0.0664;0.716;0.028;-2.371;0.021;1.314;0.027;-99.99;-99.99;-99.99;-99.99;-99.99;-99.99
1290;;9231;;82.0741888;0.234;34.1198822;0.171;173.6462067;-0.3259784;05 28 17.809;+34 07 11.68;-1.099;0.544;-4.267;0.444;1.1911;0.3345;-1.644;0.284;-4.642;0.204;0.728;0.273;-99.99;-99.99;-99.99;-99.99;-99.99;-99.99
1291;;9235;;82.096296;0.016;32.7961258;0.012;174.7581381;-1.0446389;05 28 23.108;+32 47 46.14;0.012;0.084;-6.312;0.059;0.8902;0.0458;-0.075;0.02;-6.257;0.015;1.049;0.018;-99.99;-99.99;-99.99;-99.99;-99.99;-99.99
1292;;9234;;82.1078773;0.026;34.1189213;0.02;173.662472;-0.3033022;05 28 25.889;+34 07 08.19;2.283;0.206;-9.941;0.156;1.2433;0.0745;2.166;0.032;-9.663;0.024;1.417;0.032;-99.99;-99.99;-99.99;-99.99;-99.99;-99.99
1293;?;9237;;82.1131394;0.017;30.2877962;0.012;176.8556189;-2.421859;05 28 27.140;+30 17 16.07;1.227;0.084;-2.897;0.061;1.7072;0.047;1.098;0.021;-2.807;0.014;1.703;0.02;-99.99;-99.99;-99.99;-99.99;-99.99;-99.99
1294;?;9334;;82.1243337;0.008;-22.8721895;0.012;225.8203195;-27.875665;05 28 29.832;-22 52 19.75;3.532;0.033;-5.009;0.046;2.7299;0.031;3.736;0.01;-4.947;0.014;2.755;0.015;-99.99;-99.99;-99.99;-99.99;-99.99;-99.99
1295;;9236;;82.1254268;0.017;34.3358551;0.013;173.4899584;-0.1709754;05 28 30.109;+34 20 09.14;-1.402;0.079;-4.75;0.058;0.6965;0.0429;-1.554;0.021;-4.614;0.016;0.796;0.019;-99.99;-99.99;-99.99;-99.99;-99.99;-99.99
1296;;9238;;82.1310766;0.016;31.4887061;0.012;175.8632578;-1.7443977;05 28 31.442;+31 29 19.65;9.433;0.09;-14.531;0.065;2.9119;0.0533;9.374;0.019;-14.398;0.015;3.144;0.019;-99.99;-99.99;-99.99;-99.99;-99.99;-99.99
1297;?;9270;;82.1383996;0.016;-4.6970514;0.013;207.544167;-20.5592852;05 28 33.229;-04 41 49.37;-8.152;0.068;-5.564;0.063;4.2832;0.04;-8.019;0.02;-5.382;0.016;4.439;0.021;-7.83;1.07;-5.13;0.62;3.59;0.95
1298;;9330;;82.1510848;0.013;-17.1540196;0.013;219.8487429;-25.7979617;05 28 36.253;-17 09 14.52;6.028;0.061;2.876;0.078;1.8995;0.0429;6.163;0.018;2.982;0.017;2.058;0.018;-99.99;-99.99;-99.99;-99.99;-99.99;-99.99
1299;;9344;;82.1986775;0.073;-24.261198;0.094;227.3313153;-28.2713297;05 28 47.672;-24 15 39.87;7.443;0.138;-23.549;0.176;8.9173;0.111;9.323;0.097;-24.033;0.115;9.695;0.131;9.13;0.29;-22.89;0.62;12.79;0.55
1300;;9240;;82.2111606;0.018;29.0441054;0.013;177.9405292;-3.0380339;05 28 50.682;+29 02 38.90;0.257;0.1;-5.255;0.068;1.0372;0.0457;0.091;0.023;-5.246;0.016;1.148;0.019;-99.99;-99.99;-99.99;-99.99;-99.99;-99.99
1301;;9290;;82.2191247;0.039;-0.6030721;0.035;203.7439548;-18.572453;05 28 52.596;-00 36 11.10;0.396;0.146;-2.633;0.141;2.9156;0.1057;0.26;0.044;-2.595;0.037;2.889;0.051;4.2;0.96;0.29;0.57;4.53;0.91
1302;;9258;;82.2279181;0.015;22.7039868;0.011;183.2677915;-6.505442;05 28 54.698;+22 42 14.57;-2.708;0.084;-4.383;0.065;1.0067;0.0442;-2.789;0.02;-4.339;0.014;1.248;0.019;-99.99;-99.99;-99.99;-99.99;-99.99;-99.99
1303;?;9100;;82.2427894;0.011;61.1012779;0.01;150.7631956;14.3449295;05 28 58.259;+61 06 04.89;5.287;0.043;-17.492;0.046;2.6762;0.0318;5.22;0.012;-17.575;0.012;2.679;0.014;-99.99;-99.99;-99.99;-99.99;-99.99;-99.99
1304;?;9248;;82.2533171;0.03;27.8372695;0.022;178.9696755;-3.6723238;05 29 00.790;+27 50 14.23;1.87;0.08;-4.477;0.058;1.517;0.0503;1.924;0.037;-4.462;0.028;1.525;0.036;-99.99;-99.99;-99.99;-99.99;-99.99;-99.99
1305;;9320;;82.2556115;0.017;-2.7753862;0.014;205.7879805;-19.5666278;05 29 01.380;-02 46 31.86;-29.382;0.091;27.466;0.077;6.7071;0.0553;-28.981;0.022;27.706;0.017;6.735;0.024;-24.66;1.2;28.77;0.69;6.6;1.39
1306;;9246;;82.2890989;0.025;32.5596866;0.018;175.0449287;-1.040346;05 29 09.386;+32 33 34.99;-0.619;0.088;-5.764;0.063;1.2933;0.0521;-0.394;0.031;-5.496;0.022;1.367;0.032;-99.99;-99.99;-99.99;-99.99;-99.99;-99.99
1307;?;9265;;82.2935936;0.019;24.6450708;0.014;181.6661098;-5.3947254;05 29 10.467;+24 38 42.28;-0.135;0.097;-0.629;0.072;1.8259;0.0463;-0.16;0.023;-0.527;0.016;1.9;0.02;-99.99;-99.99;-99.99;-99.99;-99.99;-99.99
