id;category_affiliation_probability_flag;id_2009_A_and_A_498_961_R;binary_system_component;icrs_ra;icrs_ra_error;icrs_dec;icrs_dec_error;gal_longitude;gal_latitude;alpha;delta;Gaia DR2_proper_motion_ra;Gaia DR2_proper_motion_ra_error;Gaia DR2_proper_motion_dec;Gaia DR2_proper_motion_dec_error;Gaia DR2_parallax;Gaia DR2_parallax_error;Hipparcos_proper_motion_ra;Hipparcos_proper_motion_ra_error;Hipparcos_proper_motion_dec;Hipparcos_proper_motion_dec_error;Hipparcos_parallax;Hipparcos_parallax_error;Gaia DR3_proper_motion_ra;Gaia DR3_proper_motion_ra_error;Gaia DR3_proper_motion_dec;Gaia DR3_proper_motion_dec_error;Gaia DR3_parallax;Gaia DR3_parallax_error
4143;*;28670;A;172.0478612;0.013;55.6681473;0.015;144.9887535;57.7507571;11 28 11.466;+55 40 05.44;2.584;0.051;-2.007;0.059;7.7593;0.0455;2.707;0.017;-1.894;0.021;7.969;0.021;2.85;0.5;-1.09;0.48;8.92;0.77
4144;;28680;;172.0519002;0.014;47.4563734;0.018;156.0993129;63.9577463;11 28 12.530;+47 27 23.29;-38.833;0.054;-21.374;0.066;5.3133;0.0441;-38.705;0.016;-21.348;0.02;5.356;0.027;-37.31;0.59;-20.39;0.41;4.3;0.72
4145;?;28688;;172.0547559;0.086;-15.8862822;0.068;275.336663;42.4826276;11 28 13.179;-15 53 10.67;-27.844;0.141;4.113;0.109;4.8456;0.0858;-32.318;0.117;4.866;0.082;3.705;0.113;-99.99;-99.99;-99.99;-99.99;-99.99;-99.99
4146;?;28685;;172.0890028;0.012;39.4586839;0.014;172.1208743;68.7920687;11 28 21.345;+39 27 31.74;3.516;0.05;-28.301;0.062;0.3013;0.0423;3.392;0.017;-28.196;0.019;0.268;0.018;-99.99;-99.99;-99.99;-99.99;-99.99;-99.99
4147;;28710;;172.107965;0.024;-60.6093446;0.023;292.9175373;0.6383423;11 28 25.939;-60 36 33.67;-13.579;0.068;0.834;0.072;1.8016;0.0483;-14.034;0.032;1.284;0.029;1.812;0.029;-99.99;-99.99;-99.99;-99.99;-99.99;-99.99
4148;;28720;;172.1084338;0.016;-61.5844304;0.017;293.225239;-0.2869225;11 28 26.054;-61 35 03.98;-11.325;0.059;1.928;0.057;1.1042;0.0403;-11.456;0.022;1.833;0.022;1.213;0.02;-99.99;-99.99;-99.99;-99.99;-99.99;-99.99
4149;?;28700;B;172.1469405;0.037;-42.6776989;0.039;287.0988389;17.6325376;11 28 35.316;-42 40 39.98;-34.534;0.085;12.493;0.085;5.9964;0.0631;-34.849;0.041;13.176;0.055;5.807;0.06;-32.53;0.78;7.43;0.88;5.26;1.28
4150;;28730;;172.344399;0.012;42.0917524;0.012;165.8520286;67.5488788;11 29 22.647;+42 05 30.37;5.042;0.051;-8.364;0.057;5.361;0.0373;5.092;0.015;-7.935;0.016;5.34;0.016;6.52;1.06;-9.15;0.98;7.71;1.11
4151;;28770;;172.3897073;0.02;-64.0441909;0.018;294.1184998;-2.5824827;11 29 33.529;-64 02 39.03;-6.964;0.127;-0.187;0.104;0.1653;0.0673;-6.69;0.026;0.737;0.022;0.31;0.023;-99.99;-99.99;-99.99;-99.99;-99.99;-99.99
4152;*;28740;;172.4307909;0.014;56.737425;0.017;143.5137933;57.0047309;11 29 43.550;+56 44 15.37;-89.595;0.059;-33.755;0.063;14.3646;0.0428;-89.303;0.018;-33.538;0.022;14.402;0.024;-89.82;0.22;-33.45;0.25;14.88;0.37
4153;;28750;;172.4967443;0.015;44.6588668;0.013;160.5242056;66.0635086;11 29 59.218;+44 39 31.92;2.274;0.075;1.656;0.091;2.1102;0.0691;2.384;0.017;1.682;0.015;2.267;0.021;-99.99;-99.99;-99.99;-99.99;-99.99;-99.99
4154;;28780;;172.6006767;0.025;-44.2446689;0.024;287.9577917;16.2582185;11 30 24.262;-44 14 40.97;-62.839;0.06;13.589;0.058;3.5685;0.0391;-62.982;0.028;12.728;0.035;3.478;0.036;-99.99;-99.99;-99.99;-99.99;-99.99;-99.99
4155;?;28790;;172.624214;0.01;-53.2548006;0.01;290.8792035;7.712262;11 30 29.840;-53 15 17.32;-9.003;0.048;0.503;0.04;1.7401;0.0323;-9.19;0.012;0.586;0.011;1.74;0.014;-99.99;-99.99;-99.99;-99.99;-99.99;-99.99
4156;?;28800;;172.6288238;0.043;-62.1688251;0.046;293.6404169;-0.7658007;11 30 30.961;-62 10 07.98;-20.477;0.108;5.186;0.09;6.2194;0.0712;-20.673;0.057;4.907;0.053;6.471;0.056;-99.99;-99.99;-99.99;-99.99;-99.99;-99.99
4157;;28804;;172.7971587;0.023;-23.5986378;0.018;280.1582503;35.6991728;11 31 11.348;-23 35 55.15;-24.932;0.113;5.326;0.105;2.5648;0.0995;-24.557;0.03;5.373;0.022;2.438;0.031;-99.99;-99.99;-99.99;-99.99;-99.99;-99.99
4158;;28784;B;172.834157;0.075;59.7008842;0.079;140.3026764;54.6430677;11 31 20.183;+59 42 03.04;3.374;0.113;-0.977;0.106;4.2557;0.0786;5.384;0.093;1.639;0.099;4.355;0.105;5.16;1.9;-0.41;1.74;9.63;2.35
4159;?;28820;A;172.9434661;3.022;-62.0889226;2.594;293.7560753;-0.6447839;11 31 46.448;-62 05 20.40;-99.99;-99.99;-99.99;-99.99;-99.99;-99.99;-99.99;-99.99;-99.99;-99.99;-99.99;-99.99;-99.99;-99.99;-99.99;-99.99;-99.99;-99.99
4160;;28760;;172.956395;0.019;81.1274081;0.018;126.6262586;35.4222723;11 31 50.596;+81 07 37.97;-144.542;0.09;33.732;0.083;16.4615;0.0408;-144.377;0.026;33.998;0.026;16.518;0.021;-144.85;0.27;34.19;0.22;16.89;0.27
4161;;28880;;172.9686313;0.018;-81.4291717;0.016;299.8571898;-19.0363333;11 31 52.590;-81 25 45.09;-12.737;0.051;1.166;0.049;3.0925;0.0281;-12.785;0.023;1.425;0.019;3.189;0.019;-11.84;0.7;1.53;0.62;4.21;0.64
4162;;28840;;173.0250529;0.017;-67.0383329;0.016;295.2920181;-5.3507955;11 32 06.043;-67 02 17.93;-15.871;0.073;1.061;0.065;2.7086;0.0409;-15.918;0.022;0.642;0.022;2.724;0.019;-16.26;0.87;0.23;0.78;3.56;0.86
4163;?;28810;;173.0536761;0.024;38.9257864;0.038;172.393829;69.7050832;11 32 12.872;+38 55 33.16;0.95;0.091;-9.691;0.093;8.7739;0.0738;0.39;0.041;-9.691;0.04;8.61;0.048;0.98;0.73;-8.74;0.74;9.09;0.88
4164;;28870;A;173.2041164;0.013;-57.677456;0.013;292.5503191;3.6009014;11 32 49.166;-57 40 38.90;-40.325;0.052;-6.159;0.045;3.4632;0.0353;-40.387;0.018;-6.097;0.015;3.468;0.017;-99.99;-99.99;-99.99;-99.99;-99.99;-99.99
4165;;28830;;173.2081023;0.052;5.2767845;0.049;258.8481566;61.2272054;11 32 49.936;+05 16 36.29;3.237;0.199;11.694;0.193;0.3379;0.1003;2.912;0.073;12.028;0.052;0.342;0.062;3.36;1.34;10.92;1.4;0.67;1.39
4166;?;28850;;173.2370969;0.011;-27.6232543;0.01;282.3699591;32.095372;11 32 56.921;-27 37 23.59;-8.932;0.071;-14.172;0.047;2.7988;0.0526;-8.912;0.014;-13.986;0.012;2.855;0.017;-99.99;-99.99;-99.99;-99.99;-99.99;-99.99
4167;?;28860;;173.2567815;0.077;-44.309314;0.066;288.4434166;16.3453726;11 33 01.644;-44 18 33.52;-11.955;0.086;0.271;0.075;3.6944;0.0607;-8.718;0.087;1.321;0.084;4.098;0.108;-99.99;-99.99;-99.99;-99.99;-99.99;-99.99
4168;;28900;;173.5058727;0.018;-46.9630332;0.021;289.4602159;13.8737155;11 34 01.410;-46 57 47.00;-0.75;0.146;1.45;0.093;1.679;0.0798;-0.544;0.027;1.696;0.026;1.8;0.034;-99.99;-99.99;-99.99;-99.99;-99.99;-99.99
4169;*;28890;A;173.5416036;0.139;11.023784;0.151;250.7675493;65.7237585;11 34 09.933;+11 01 25.85;31.692;0.194;-14.642;0.175;8.5449;0.195;31.045;0.17;-12.391;0.183;9.009;0.203;35.24;0.8;-23.34;0.61;9.72;0.69
4170;;28920;A;173.5667201;0.048;-41.1547288;0.053;287.6384398;19.413999;11 34 16.026;-41 09 16.92;-1.969;0.247;-10.131;0.164;2.3377;0.1206;1.974;0.049;-9.321;0.073;3.39;0.076;-99.99;-99.99;-99.99;-99.99;-99.99;-99.99
4171;;28910;;173.5885344;0.026;-5.527036;0.018;270.3566836;52.4006481;11 34 21.361;-05 31 37.61;-96.963;0.089;14.362;0.059;10.8745;0.0504;-97.223;0.035;14.665;0.021;11.016;0.028;-98.34;0.57;14.24;0.5;12.51;0.62
