id;category_affiliation_probability_flag;id_2009_A_and_A_498_961_R;binary_system_component;icrs_ra;icrs_ra_error;icrs_dec;icrs_dec_error;gal_longitude;gal_latitude;alpha;delta;HDE_id;Gaia DR2_id;TYC_id;Hipparcos_id;Gaia DR3_id
47;?;170;;3.6779521;0.016;64.5661255;0.017;119.0001729;1.9751043;00 14 42.715;+64 33 58.10;431900369404164864;431900369404164864;1009;1180;4022-891-1
48;;180;;3.7331229;0.035;22.2841781;0.027;111.9180364;-39.8055815;00 14 55.896;+22 17 03.13;2800509923295874944;2800509923295874944;1048;1193;1185-2318-1
49;?;190;;3.774532;0.019;-17.2586368;0.014;80.6712537;-77.0429555;00 15 05.879;-17 15 31.15;2368061627745727872;2368061627745727872;1086;-99.99;5839-652-1
50;;210;;3.7833271;0.06;-29.0063601;0.055;17.6223788;-81.7764311;00 15 07.969;-29 00 23.09;2321194807173480320;2321194807173480320;1097;1210;6419-927-1
51;?;200;;3.8417156;0.016;45.529735;0.01;116.342896;-16.8800299;00 15 22.004;+45 31 47.24;386068876458943232;386068876458943232;1092;-99.99;3247-2274-1
52;?;220;;3.8525067;0.025;-13.0545011;0.019;90.2469078;-73.5957379;00 15 24.564;-13 03 15.93;2418079270687493760;2418079270687493760;1114;1237;5267-654-1
53;;230;A;4.0227993;0.027;8.1154224;0.019;108.0353518;-53.73087;00 16 05.412;+08 06 56.01;2748873906614022528;2748873906614022528;1169;1286;595-773-1
54;;240;A;4.0899211;0.023;43.5949485;0.017;116.232897;-18.8200554;00 16 21.531;+43 35 42.35;385485619900166400;385485619900166400;1185;1302;2794-1917-1
55;;250;;4.1319658;0.01;64.413776;0.011;119.1727928;1.7971255;00 16 31.705;+64 24 49.64;431851058876963840;431851058876963840;-99.99;-99.99;4022-946-1
56;?;270;A;4.2725989;0.307;38.68157;0.136;115.6187543;-23.7019496;00 17 05.496;+38 40 53.91;379662675036095232;379662675036095232;1280;1366;2782-2251-1
57;?;273;;4.3049198;0.038;-14.1091978;0.028;89.7196498;-74.7293559;00 17 13.172;-14 06 32.94;2417181725601918464;2417181725601918464;1302;1378;5267-939-1
58;;260;;4.3823018;0.017;76.1453927;0.016;120.8522297;13.4107485;00 17 31.770;+76 08 43.63;540151652837171072;540151652837171072;1263;-99.99;4492-1648-1
59;;275;;4.4231362;0.026;73.637661;0.026;120.5194726;10.9241763;00 17 41.480;+73 38 15.35;537753755416763264;537753755416763264;-99.99;1414;4306-1396-1
60;?;310;;4.524942;0.011;-83.0613149;0.012;304.1420729;-33.9884317;00 18 05.791;-83 03 40.69;4629993578521112064;4629993578521112064;1525;1452;9490-1444-1
61;?;300;;4.7066854;0.012;-59.4739068;0.013;310.566633;-57.1683303;00 18 49.615;-59 28 25.94;4906394102910927616;4906394102910927616;1499;-99.99;8471-125-1
62;?;280;;4.7375716;0.038;63.2882058;0.037;119.290631;0.6463732;00 18 56.897;+63 17 17.67;431399713657548416;431399713657548416;1447;1521;4019-1650-1
63;;290;;4.7947845;0.025;66.1469107;0.026;119.6736136;3.4794516;00 19 10.723;+66 08 48.83;528214839211706624;528214839212748672;-99.99;-99.99;4027-539-1
64;?;320;;4.8538826;0.02;-37.7589306;0.016;333.2893457;-77.416505;00 19 24.918;-37 45 32.12;4998718754265000192;4998718754265000192;1541;1561;7524-686-1
